肖申克的救赎,弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /,1994,美国,犯罪 剧情,9.7,2997375
霸王别姬,陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,2214743
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ,1994,美国,剧情 爱情,9.5,2233451
泰坦尼克号,詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo,1997,美国 墨西哥,剧情 爱情 灾难,9.5,2270942
千与千寻,宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi Hîragi / 入野自由 Miy,2001,日本,剧情 动画 奇幻,9.4,2316416
这个杀手不太冷,吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ,1994,法国 美国,剧情 动作 犯罪,9.4,2363933
美丽人生,罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni,1997,意大利,剧情 喜剧 爱情 战争,9.5,1367737
星际穿越,克里斯托弗·诺兰 Christopher Nolan, 马修·麦康纳 Matthew Mc,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,1930773
盗梦空间,克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,2136715
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson,1993,美国,剧情 历史 战争,9.5,1155607
楚门的世界,彼得·威尔 Peter Weir, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau,1998,美国,剧情 科幻,9.4,1788725
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström, 理查·基尔 Richard Ger,2009,美国 英国,剧情,9.4,1436112
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore, 蒂姆·罗斯 Tim Roth / ,1998,意大利,剧情 音乐,9.3,1728976
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani, 阿米尔·汗 Aamir Khan / 卡,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1916919
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier, 让-巴蒂斯特·莫尼,2004,法国 瑞士 德国,剧情 音乐,9.3,1356432
机器人总动员,安德鲁·斯坦顿 Andrew Stanton, 本·贝尔特 Ben Burtt / 艾丽,2008,美国,科幻 动画 冒险,9.3,1360368
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore, 金妮弗·,2016,美国,喜剧 动画 冒险,9.2,2023921
无间道,刘伟强 / 麦兆辉, 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W,2002,中国香港,剧情 犯罪 惊悚,9.3,1417765
