id,datas,url
1,二维科普手绘MG动漫AE逐帧产品flash动画制作设计,服务内容全部包含:五星服务商 超五星服务【宣传片】 【动画片】 【广告片】 宣传片：企业宣传片、产品宣传片、品牌宣传片、城市类宣传片等，一站式优质服务。动画片：动画创意、动画艺术风格，色彩搭配等影像支持，专业设备人员。广告片：互联网营销视频、病毒视频、网红短片，新颖玩法，裂变传播。服务优势:【品牌优势】全国多地直营公司，粤企文化产业领域代表企业，企业视频服务领域的著名影视制作品牌。【制作优势】团队自有，拒绝“搭班子”；设备自有，无需外借；多地拥有自营二维、三维制作团队及超1000m²影视制作基地。【服务优势】零距离服务，互联网+影视制作模式；价格：本土价格，超五星服务；优质：品质保证，自有团队；“一站式”全流程五星服务，为客户提供量身定制的影视解决方案。服务前需客户提供的信息:【简单5步 轻松搞定】 1.项目的文稿资料或图片资料2.对影片的初步构思想法或框架文案3.如有解说词脚本更好4.对标参考竞品信息及视频质量要求 5.预算控制范围
2,【动画制作】MG动画flash科普二维动画AE频设计定制,服务内容全部包含:倍数传媒是专注影视动画制作的一家公司，现以重庆为总部，在北京、广东、杭州、上海、江苏、成都先后成立六大动画品牌全案中心。为影视文化市场提供精湛的动画专业制作服务。业务板块涵盖:特效制作，影视CG，二维动画，三维动画、影视拍摄等服务内容灵活满足全球不同品牌、影视运营商、导演，制片人等差异化需求及快速创新的追求理念。在众多制作方面都获得了客户一致好评，客户复购率高，并且业务范围涉及全国及海外。服务优势:1.专业的团队：团队成员均来自名校，有着丰富的制作经验和优秀的代表作品和服务背书，央视/世界500强/上市公司优质供应商。 2.良好的口碑：5000+客户合作经验，97%的顾客满意率，累计制作20000分钟，任务交付零超期%。3.项目沟通零距离：专业AE1V1全程跟进，节省沟通成本，保证项目准时交付，每日分享项目实时进度，把控质量，让客户省心省力省时。4.完善的售后：初稿不满意随时退款。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。其他:制作流程为：脚本创作.——配音制作——模型建模——动态分镜——预演动画.——单帧确认——渲染合成动画。服务客户:华为、腾讯、万达、米哈游、小米、国家电网、中国移动、中国电信、中国航空、中国平安、太平洋、东风日产、新东方英语、现代汽车、大众汽车、荔枝FM、CCTV、京东宠物、百度、海尔集团、可口可乐、周六福珠宝等知名企业和政府单位，目前已成为上百家知名企业指定供应商，达成年度合作关系。
3,企业产品二维MG动画设计AE三维广告宣传片手绘视频定制作,服务内容全部包含:【二维动画】|【影视制作】 | 【三维动画】1、品牌推广 | 1、企业宣传 | 1、产品推广2、产品宣传 | 2、产品广告 | 2、品牌形象3、活动开场 | 3、政府汇报 | 3、工业流程4、流程讲解 | 4、专题记录 | 4、医疗设备5、政策科普 | 5、活动暖场 | 5、游戏动作6、电商营销 | 6、品牌形象 | 6、片头演绎7、教育课件 | 7、剪辑合成 | 7、展厅折幕服务优势:【九大优势】1看效果：单作品播放1.2亿，累积粉丝超500万2看经验：上百种风格可选，各行均有企业案例3看团队：成员均科班毕业，实战超百余项目4看标准：电影级制作标准，一条龙服务流程5看服务：项目组实时沟通，有疑问高效回复6看速度：多团队并驾齐驱，把控进度更高效7选创意：三种方案供选择，头脑风暴更简单8选声誉：十五年服务经验，猪八戒网可追溯9选实力：抖音年度五十强，快手优质MCN服务前需客户提供的信息:★前期沟通所需资料★【1提供项目的相关文档】【2有解说词提供解说词】 （没有解说词艺尚提供策划方案）【3使用场景及针对人群】【4对标参考样片及预期】【5领导要求及期望效果】★备注★因广告宣传属于定制化方案，各行业之间所需资料大不相同，具体可联系本店客服进一步咨询艺尚传媒专业顾问会为您提供更完整的制作方案其他:★合作伙伴★互 联 网 ：腾讯、360、滴滴、联想、5微软 等家电行业：华为、小米、老板、海尔、怡口 等金投行业：招商、中银、万家、平安、华安 等汽车行业：福特、丰田、驰加、理想、蔚蓝 等餐饮行业：麦当劳、王老吉、三只松鼠、甄选 等软件应用：腾讯云、企加云、汉得中台、甄零 等★友情提示★1、政府、公益、地产、医疗行业等各行各业皆有对应案例；2、所有提到的品牌均有真实案例；
4,三维3d动画漫建筑地产品施工业设备演示流程视频设计定制作,服务内容全部包含:倍数传媒是专注影视动画制作的一家公司，现以重庆为总部，在北京、广东、杭州、上海、江苏、成都先后成立六大动画品牌全案中心。为影视文化市场提供精湛的动画专业制作服务。业务板块涵盖:特效制作，影视CG，二维动画，三维动画、影视拍摄等服务内容灵活满足全球不同品牌、影视运营商、导演，制片人等差异化需求及快速创新的追求理念。在众多制作方面都获得了客户一致好评，客户复购率高，并且业务范围涉及全国及海外。服务优势:1.专业的团队：团队成员均来自名校，有着丰富的制作经验和优秀的代表作品和服务背书，央视/世界500强/上市公司优质供应商。 2.良好的口碑：5000+客户合作经验，97%的顾客满意率，累计制作20000分钟，任务交付零超期。3.项目沟通零距离：专业AE1V1全程跟进，节省沟通成本，保证项目准时交付，每日分享项目实时进度，把控质量，让客户省心省力省时。4.完善的售后：初稿不满意随时退款。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。其他:制作流程为：脚本创作.——配音制作——模型建模——动态分镜——预演动画.——单帧确认——渲染合成动画。服务客户:华为、腾讯、万达、米哈游、小米、国家电网、中国移动、中国电信、中国航空、中国平安、太平洋、东风日产、新东方英语、现代汽车、大众汽车、荔枝FM、CCTV、京东宠物、百度、海尔集团、可口可乐、周六福珠宝等知名企业和政府单位，目前已成为上百家知名企业指定供应商，达成年度合作关系。
5,3D施工业医疗CG产品设备游戏流程角色三维动画设计定制作,服务内容全部包含:【二维动画】 【影视制作】 【三维动画】1、品牌推广 1、企业宣传 1、产品推广2、产品宣传 2、产品广告 2、品牌形象3、活动开场 3、政府汇报 3、工业流程4、流程讲解 4、专题记录 4、医疗设备5、政策科普 5、活动暖场 5、游戏动作6、电商营销 6、品牌形象 6、片头演绎7、教育课件 7、剪辑合成 7、展厅折幕服务优势:【九大优势】1选经验：知名各行业龙头企业服务经验2选人员：员工均毕业国内知名艺术高校3选标准：广告热店公司标准化服务流程4选服务：项目群技术人员实时沟通交流5选效果：金三角品质把控比您更高要求6选速度：工单智能化严格把握进度流程7选创意：策划小组头脑风暴创意点集合8选实力：国际互联网创业大赛金奖团队9选声誉：七年用心服务客户99%称心度服务前需客户提供的信息:【前期沟通所需资料】【1关于项目的文稿资料】【2关于项目的图片资料】【3关于项目的视频资料】【4如有解说词脚本更好】【5对标参考样片及预期】【6预算控制标准及描述】【7领导要求及期望效果】【备注】因广告宣传属于强定制属性行业每个项目的需求不同从而导致每个项目所需资料也不同具体情况可咨询本店客服进一步了解其他:【合作流程】创意策划：制片主任带队进行创意策划，形成精美格式汇报方案美术风格：遵循方案要求进行美术设计，搭配场景内容风格配色动画制作：理解画面内容深度价值意义，创造灵活自然感官动效品质把控：导演制片内部团队双重审核，严格要求项目出品质量初稿提交：约定工期之前发送初稿样片，守时保质完成甲方要求修改定稿：三次无偿修改杜绝无理收费，迅速反馈传达交付定稿
6,二三维产品动画动漫设计流程MG渲染影视频制作拍摄剪辑包装,服务内容全部包含:企业宣传、产品、形象、APP介绍、汇报、公益、流程、**、区块链、剧情动画、logo动画、路演动画等均可制作。
7,二维AE企业产品牌MG手绘逐帧活动流程教育动画设计定制作,服务内容全部包含:【二维动画】 【影视制作】 【三维动画】1、品牌推广 1、企业宣传 1、产品推广2、产品宣传 2、产品广告 2、品牌形象3、活动开场 3、政府汇报 3、工业流程4、流程讲解 4、专题记录 4、医疗设备5、政策科普 5、活动暖场 5、游戏动作6、电商营销 6、品牌形象 6、片头演绎7、教育课件 7、剪辑合成 7、展厅折幕服务优势:【九大优势】1选经验：知名各行业龙头企业服务经验2选人员：员工均毕业国内知名艺术高校3选标准：广告热店公司标准化服务流程4选服务：项目群技术人员实时沟通交流5选效果：金三角品质把控比您更高要求6选速度：工单智能化严格把握进度流程7选创意：策划小组头脑风暴创意点集合8选实力：国际互联网创业大赛金奖团队9选声誉：七年用心服务客户99%称心度服务前需客户提供的信息:【前期沟通所需资料】【1关于项目的文稿资料】【2关于项目的图片资料】【3关于项目的视频资料】【4如有解说词脚本更好】【5对标参考样片及预期】【6预算控制标准及描述】【7领导要求及期望效果】【备注】因广告宣传属于强定制属性行业每个项目的需求不同从而导致每个项目所需资料也不同具体情况可咨询本店客服进一步了解其他:【合作流程】创意策划：制片主任带队进行创意策划，形成精美格式汇报方案美术风格：遵循方案要求进行美术设计，搭配场景内容风格配色动画制作：理解画面内容深度价值意义，创造灵活自然感官动效品质把控：导演制片内部团队双重审核，严格要求项目出品质量初稿提交：约定工期之前发送初稿样片，守时保质完成甲方要求修改定稿：三次无偿修改杜绝无理收费，迅速反馈传达交付定稿
8,二维动画/三维动画/Vi设计LOG0/包装设计,服务内容全部包含:业务范围：二维动画/三维动画/Vi设计LOG0/包装设计/产品手册/印刷工艺/企业手册海报设计|宣传单淘宝店装修|彩页设计|吉祥物设计|书籍设计|展板设计|/视频修剪服务优势:MM创作工作室是一家从事品牌视觉、商业空间设计、商业摄影、创意产品研发设计的专业品牌设计机构，是由一群年轻的设计师、时尚插画师组成的团队。我们热衷于从生活的细节发现真实的品牌价值，注重品牌在不同应用环境中的整体视觉传达、沟通与体验，擅长以简洁、清晰、概念的设计手段，为客户提供实效、创新的品牌解决方案，并最终协助客户达成预期的文化诉求与商业目标。服务前需客户提供的信息:完整描述客户需求做好第一时间发您审核 ，修改无限次数其他:如有新的要求，请第一时间与我们联系！！！
9,企业动画产品MG三维AE二维广告宣传片手绘视频定制作,服务内容全部包含:商务服务流程是什么？简单说就是首付款——开始制作——制作完成——尾款。· 1、沟通需求，了解客户具体的诉求点· 2、给出报价，根据报价签约合同· 3、首付款到位，合同生效，制作开始· 4、开始制作服务流程（见↑）· 5、制作完成后，客户支付尾款，条件高清文件· 6、根据服务开具发票事宜服务优势:节点1:脚本确认;节点2:设计稿确认;节点3:配音确认;节点4:分镜确认;节点5 :动画确认。根据节点步步确认,阶段性进行●程序:把控五个重要节点,阶段性进行,把风险控制到最低的范围。●专注:如果-个公司什么都做,可能什么都做不好,我们只专注做动画这-件事。●态度:每一个客户都有很大概率成为长期客户,所以我们的态度培养每一个长期关系。●经验:我们会尽力去配合客户的需求，用我们多年的动画经服务前需客户提供的信息:定制类产品，具体价格需要与客服沟通协商定最终价格。视频制作属于虚拟产品，为了保证买家及客户的利益，视频制作完成后将添加水印发送给客户，我们将发送高清无水印版本完成交易。其他:看经验制作沟通零距离全程项目经理1V1看人员配置设计师毕业国内知名美术高校看制作服务项目群技术人员实时沟通交流看所达效果每层制作都把控比您更高要求看工期速度工单智能化严格把握进度流程看所出创意满足不同行业的需求精益求精看业内声誉给客户不同选择标准再次回购看我们实力拥有十多年以上动画制作水准人工智能化灵活运用AI智能出图效率更高
10,MG动画企业3D产品AE二维视频三维影视剪辑宣传片定制作,服务内容全部包含:【二维动画】|【影视制作】 | 【三维动画】1、品牌推广 | 1、企业宣传 | 1、产品推广2、产品宣传 | 2、产品广告 | 2、品牌形象3、活动开场 | 3、政府汇报 | 3、工业流程4、流程讲解 | 4、专题记录 | 4、医疗设备5、政策科普 | 5、活动暖场 | 5、游戏动作6、电商营销 | 6、品牌形象 | 6、片头演绎7、教育课件 | 7、剪辑合成 | 7、展厅折幕服务优势:【九大优势】1看效果：单作品播放1.2亿，累积粉丝超500万2看经验：上百种风格可选，各行均有企业案例3看团队：成员均科班毕业，实战超百余项目4看标准：电影级制作标准，一条龙服务流程5看服务：项目组实时沟通，有疑问高效回复6看速度：多团队并驾齐驱，把控进度更高效7选创意：三种方案供选择，头脑风暴更简单8选声誉：十五年服务经验，猪八戒网可追溯9选实力：抖音年度五十强，快手优质MCN服务前需客户提供的信息:★前期沟通所需资料★【1提供项目的相关文档】【2有解说词提供解说词】 （没有解说词艺尚提供策划方案）【3使用场景及针对人群】【4对标参考样片及预期】【5领导要求及期望效果】★备注★因广告宣传属于定制化方案，各行业之间所需资料大不相同，具体可联系本店客服进一步咨询，艺尚传媒将为您提供多样化服务。其他:★合作伙伴★互 联 网 ：腾讯、360、滴滴、联想、5微软 等家电行业：华为、小米、老板、海尔、怡口 等金投行业：招商、中银、万家、平安、华安 等汽车行业：福特、丰田、驰加、理想、蔚蓝 等餐饮行业：麦当劳、王老吉、三只松鼠、甄选 等软件应用：腾讯云、企加云、汉得中台、甄零 等★友情提示★1、政府、公益、地产、医疗行业等各行各业皆有对应案例；2、所有提到的品牌均有真实案例；
