id,datas,url
1,二维科普手绘MG动漫AE逐帧产品flash动画制作设计,服务内容全部包含:五星服务商 超五星服务【宣传片】 【动画片】 【广告片】 宣传片：企业宣传片、产品宣传片、品牌宣传片、城市类宣传片等，一站式优质服务。动画片：动画创意、动画艺术风格，色彩搭配等影像支持，专业设备人员。广告片：互联网营销视频、病毒视频、网红短片，新颖玩法，裂变传播。服务优势:【品牌优势】全国多地直营公司，粤企文化产业领域代表企业，企业视频服务领域的著名影视制作品牌。【制作优势】团队自有，拒绝“搭班子”；设备自有，无需外借；多地拥有自营二维、三维制作团队及超1000m²影视制作基地。【服务优势】零距离服务，互联网+影视制作模式；价格：本土价格，超五星服务；优质：品质保证，自有团队；“一站式”全流程五星服务，为客户提供量身定制的影视解决方案。服务前需客户提供的信息:【简单5步 轻松搞定】 1.项目的文稿资料或图片资料2.对影片的初步构思想法或框架文案3.如有解说词脚本更好4.对标参考竞品信息及视频质量要求 5.预算控制范围
2,工程施工建模三维动画制作3D产品工业机械医学医疗器械视频,服务内容全部包含:【二维动画】 【三维动画】1、品牌推广 1、产品演示推广2、产品宣传 2、生产工艺3、活动开场 3、工业流程4、流程讲解 4、医疗设备5、政策科普 5、工程施工6、电商营销 6、片头演绎7、教育课件 7、机器机械演示服务优势:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，UI设计，游戏美术设计，品牌设计，空间设计，3D建模，产品外观设计。服务8年，服务企业超过1000家，秉承以互联网传播思维，切实为客户带来设计商业价值。 合作客户包含腾讯、中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。
3,MG动画扁平宣传讲解flash动画科普二维动画定制,服务内容全部包含:商务流程：首付款一开始制作-制作完成-尾款。 1、沟通需求，了解客户具体的诉求点（风格、时长、制作周期） 2、给出报价，根据报价签约合同 3、首付款到位后，合同生效，制作开始 4、根据服务流程开始制作  5、制作完成后，客户支付尾款，最终提供高清文件 6、根据服务开具发票等事宜服务优势:精细高效设计团队，深耕二维动画设计行业多年。专注二维动画解决方案。工程施工动画、机械原理动画、智能制造动画、工业流程动画、产品演绎动画、地产建筑动画、事故救援动画、flash动画、医疗动画、MG动画等六八九动漫创意作为一家全国性专业二维动画服务商；自有一支专业高效的、全流程服务团队，为您保驾护航服务前需客户提供的信息:1.相关产品或公司介绍以便更加了解片子的定位、制作方向2.制作时长、需求风格、质量或参考案例以便更准确的进行动画制作3.是否提供脚本、配音提前清晰客户的需求，更快的安排制作4.投放途经范围、大概的制作周期在制作周期范围内可进行多次沟通，能够有效的提高片子质量5.其他要求明确客户其他要求
4,产品三维动画医学医疗工业施工机械生产演示流程3d视频制作,服务内容全部包含:【二维动画】 【三维动画】1、品牌推广 1、产品演示推广2、产品宣传 2、生产工艺3、活动开场 3、工业流程4、流程讲解 4、医疗设备5、政策科普 5、工程施工6、电商营销 6、片头演绎7、教育课件 7、机器机械演示服务优势:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，UI设计，游戏美术设计，品牌设计，空间设计，3D建模，产品外观设计。服务8年，服务企业超过1000家，秉承以互联网传播思维，切实为客户带来设计商业价值。 合作客户包含腾讯、中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。
5,二维动画科教医疗flash动画制作企业宣传MG动画展示,服务内容全部包含:商务流程：首付款一开始制作-制作完成-尾款。 1、沟通需求，了解客户具体的诉求点（风格、时长、制作周期） 2、给出报价，根据报价签约合同 3、首付款到位后，合同生效，制作开始 4、根据服务流程开始制作  5、制作完成后，客户支付尾款，最终提供高清文件 6、根据服务开具发票等事宜服务优势:精细高效设计团队，深耕二维动画设计行业多年。专注二维动画解决方案。工程施工动画、机械原理动画、智能制造动画、工业流程动画、产品演绎动画、地产建筑动画、事故救援动画、flash动画、医疗动画、MG动画等六八九动漫创意作为一家全国性专业二维动画服务商；自有一支专业高效的、全流程服务团队，为您保驾护航服务前需客户提供的信息:1.相关产品或公司介绍以便更加了解片子的定位、制作方向2.制作时长、需求风格、质量或参考案例以便更准确的进行动画制作3.是否提供脚本、配音提前清晰客户的需求，更快的安排制作4.投放途经范围、大概的制作周期在制作周期范围内可进行多次沟通，能够有效的提高片子质量5.其他要求明确客户其他要求
6,三维3D动画产品工业演示设备建筑园林景观游戏角色设计制作,服务内容全部包含:咔嚓影视文化传媒有限公司（以下简称咔嚓影视）多年深耕于影视制作在重庆、成都、北京、上海等城市拥有自己的城市站及摄制团队，公司以内容创作为核心，集电影制作、TVC广告片、微电影、文案撰写、产品拍摄互动推广，影视后期制作，二维动画，三维动画），裸眼3D，展厅交互VR/AR于一体，秉承“高水准、高品位、高效率”服务理念，在众多视频拍摄及制作方面都获得了客户一致认可，并且业务范围涉及全国及海外。服务优势:1、项目经理全程与您1V1沟通，确保沟通环节通畅、传达及时。 2、根据您的业务需求组建专属与您的项目组团队。 3、开放式全流程溯源，确保把控精准的项目进度，高质量的完成服务，售后服务体系，任务交付零超期。 4、每个作品的相关数据都会为您保留，随时随地为您解决难题。5、专业的团队：团队成员均来自名校，有着丰富的制作经验和优秀的代表作品和服务背书，央视/世界500强/上市公司优质供应商。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。其他:制作流程为：确认合作—建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片服务客户:华为、腾讯、万达、米哈游、小米、国家电网、中国移动、中国电信、中国航空、中国平安、太平洋、东风日产、新东方英语、现代汽车、大众汽车、荔枝FM、CCTV、京东宠物、百度、海尔集团、可口可乐、周六福珠宝等知名企业和政府单位，目前已成为上百家知名企业指定供应商，达成年度合作关系。
7,企业产品二维MG动画设计AE三维广告宣传片手绘视频定制作,服务内容全部包含:【二维动画】|【影视制作】 | 【三维动画】1、品牌推广 | 1、企业宣传 | 1、产品推广2、产品宣传 | 2、产品广告 | 2、品牌形象3、活动开场 | 3、政府汇报 | 3、工业流程4、流程讲解 | 4、专题记录 | 4、医疗设备5、政策科普 | 5、活动暖场 | 5、游戏动作6、电商营销 | 6、品牌形象 | 6、片头演绎7、教育课件 | 7、剪辑合成 | 7、展厅折幕服务优势:【九大优势】1看效果：单作品播放1.2亿，累积粉丝超500万2看经验：上百种风格可选，各行均有企业案例3看团队：成员均科班毕业，实战超百余项目4看标准：电影级制作标准，一条龙服务流程5看服务：项目组实时沟通，有疑问高效回复6看速度：多团队并驾齐驱，把控进度更高效7选创意：三种方案供选择，头脑风暴更简单8选声誉：十五年服务经验，猪八戒网可追溯9选实力：抖音年度五十强，快手优质MCN服务前需客户提供的信息:★前期沟通所需资料★【1提供项目的相关文档】【2有解说词提供解说词】 （没有解说词艺尚提供策划方案）【3使用场景及针对人群】【4对标参考样片及预期】【5领导要求及期望效果】★备注★因广告宣传属于定制化方案，各行业之间所需资料大不相同，具体可联系本店客服进一步咨询艺尚传媒专业顾问会为您提供更完整的制作方案其他:★合作伙伴★互 联 网 ：腾讯、360、滴滴、联想、5微软 等家电行业：华为、小米、老板、海尔、怡口 等金投行业：招商、中银、万家、平安、华安 等汽车行业：福特、丰田、驰加、理想、蔚蓝 等餐饮行业：麦当劳、王老吉、三只松鼠、甄选 等软件应用：腾讯云、企加云、汉得中台、甄零 等★友情提示★1、政府、公益、地产、医疗行业等各行各业皆有对应案例；2、所有提到的品牌均有真实案例；
8,3D三维动画制作工程施工演绎建模工业产品安装机械原理医疗,服务内容全部包含:【二维动画】 【三维动画】1、品牌推广 1、产品演示推广2、产品宣传 2、生产工艺3、活动开场 3、工业流程4、流程讲解 4、医疗设备5、政策科普 5、工程施工6、电商营销 6、片头演绎7、教育课件 7、机器机械演示服务优势:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，UI设计，游戏美术设计，品牌设计，空间设计，3D建模，产品外观设计。服务8年，服务企业超过1000家，秉承以互联网传播思维，切实为客户带来设计商业价值。 合作客户包含腾讯、中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。
9,二维动画宣传MG企业产品动漫flash科普课件设计定制作,服务内容全部包含:咔嚓影视文化传媒有限公司（以下简称咔嚓影视）多年深耕于影视制作在重庆、成都、北京、上海等城市拥有自己的城市站及摄制团队，公司以内容创作为核心，集电影制作、TVC广告片、微电影、文案撰写、产品拍摄互动推广，影视后期制作，二维动画，三维动画），裸眼3D，展厅交互VR/AR于一体，秉承“高水准、高品位、高效率”服务理念，在众多视频拍摄及制作方面都获得了客户一致认可，并且业务范围涉及全国及海外。1、项服务优势:1、项目经理全程与您1V1沟通，确保沟通环节通畅、传达及时。 2、根据您的业务需求组建专属与您的项目组团队。 3、开放式全流程溯源，确保把控精准的项目进度，高质量的完成服务，售后服务体系，任务交付零超期。 4、每个作品的相关数据都会为您保留，随时随地为您解决难题。5、专业的团队：团队成员均来自名校，有着丰富的制作经验和优秀的代表作品和服务背书，央视/世界500强/上市公司优质供应商。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。其他:制作流程为：确认合作—建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片服务客户:华为、腾讯、万达、米哈游、小米、国家电网、中国移动、中国电信、中国航空、中国平安、太平洋、东风日产、新东方英语、现代汽车、大众汽车、荔枝FM、CCTV、京东宠物、百度、海尔集团、可口可乐、周六福珠宝等知名企业和政府单位，目前已成为上百家知名企业指定供应商，达成年度合作关系。
10,MG动画企业3D产品AE二维视频三维影视剪辑宣传片定制作,服务内容全部包含:【二维动画】|【影视制作】 | 【三维动画】1、品牌推广 | 1、企业宣传 | 1、产品推广2、产品宣传 | 2、产品广告 | 2、品牌形象3、活动开场 | 3、政府汇报 | 3、工业流程4、流程讲解 | 4、专题记录 | 4、医疗设备5、政策科普 | 5、活动暖场 | 5、游戏动作6、电商营销 | 6、品牌形象 | 6、片头演绎7、教育课件 | 7、剪辑合成 | 7、展厅折幕服务优势:【九大优势】1看效果：单作品播放1.2亿，累积粉丝超500万2看经验：上百种风格可选，各行均有企业案例3看团队：成员均科班毕业，实战超百余项目4看标准：电影级制作标准，一条龙服务流程5看服务：项目组实时沟通，有疑问高效回复6看速度：多团队并驾齐驱，把控进度更高效7选创意：三种方案供选择，头脑风暴更简单8选声誉：十五年服务经验，猪八戒网可追溯9选实力：抖音年度五十强，快手优质MCN服务前需客户提供的信息:★前期沟通所需资料★【1提供项目的相关文档】【2有解说词提供解说词】 （没有解说词艺尚提供策划方案）【3使用场景及针对人群】【4对标参考样片及预期】【5领导要求及期望效果】★备注★因广告宣传属于定制化方案，各行业之间所需资料大不相同，具体可联系本店客服进一步咨询，艺尚传媒将为您提供多样化服务。其他:★合作伙伴★互 联 网 ：腾讯、360、滴滴、联想、5微软 等家电行业：华为、小米、老板、海尔、怡口 等金投行业：招商、中银、万家、平安、华安 等汽车行业：福特、丰田、驰加、理想、蔚蓝 等餐饮行业：麦当劳、王老吉、三只松鼠、甄选 等软件应用：腾讯云、企加云、汉得中台、甄零 等★友情提示★1、政府、公益、地产、医疗行业等各行各业皆有对应案例；2、所有提到的品牌均有真实案例；
