1,原生墅 康和园 次顶好楼层 双卧朝南通透好户型 电梯房,原生墅 ,3室2厅,153.02平米,南北,精装,12层,null,板楼
2,高家园五区中间层两居精装修满五唯一,高家园五区 ,2室1厅,60.98平米,东南西南,精装,中楼层(共6层),1987年,板楼
3,全明两居、客厅东向采光视野好、满五不唯一,太阳公元北区 ,2室1厅,87.36平米,东南,精装,中楼层(共27层),2010年,板楼
4,首套置业 小区中间位置 户型方正采光充足业主诚心出售,名佳花园一区 ,2室1厅,95.07平米,南北,简装,中楼层(共7层),null,板楼
5,四环内  品质洋房上跃  一套可品咖啡赏星辰的房子,鸿坤花语墅 ,4室2厅,146.79平米,南北,精装,顶层(共6层),null,板楼
6,满五年唯一 卫生间带窗户 无遮挡 采光好,珠江国际城八区 ,3室2厅,129.53平米,南北,简装,中楼层(共5层),2004年,板楼
7,石佛营西里小区 中间层 无遮挡 价格可聊 靠谱卖,石佛营西里小区 ,2室1厅,62.18平米,南北,简装,6层,null,板楼
8,北三环使用面积大同小区同户型商品房房本面积165.26平,冠城南园 ,3室2厅,146.6平米,东西南北,精装,高楼层(共24层),null,塔楼
9,地铁1号线四惠南向一居室，采光充足，满五年唯一,康家园 ,1室1厅,42.72平米,南,简装,高楼层(共6层),1994年,板楼
10,溪水花园八区 小区环境好 楼层适中,溪水花园八区 ,2室1厅,81.6平米,南北,其他,中楼层(共6层),null,暂无数据
11,松榆西里低楼层精装修三居室 满五唯一,松榆西里 ,3室1厅,73.01平米,南西北,精装,低楼层(共6层),null,板楼
12,望园西里 精装修一居室 中高楼层 采光好 诚心出售,望园西里 ,1室1厅,47.85平米,东西,精装,中楼层(共6层),null,板楼
13,流星花园三区 不临街不把边 中间楼层 一居室,流星花园三区 ,1室1厅,49.61平米,北,精装,高楼层(共11层),null,板塔结合
14,嘉华世纪南向一居室 无遮挡视野好 看房方便,嘉华世纪公寓 ,1室1厅,92.47平米,南,简装,中楼层(共18层),2003年,板楼
15,梵谷水郡小区三期2009年的房子4号楼24层,梵谷水郡 ,2室2厅,94.9平米,东东南南,简装,顶层(共24层),null,塔楼
16,二里庄 正南一居室 户型方正 明厨明卫,二里庄小区 ,1室1厅,43.1平米,南,简装,中楼层(共6层),1992年,板楼
17,《低密洋房社区》商品房满五年唯一，中楼层，南北一居,天通苑二区 ,1室1厅,61.32平米,南北,简装,中楼层(共6层),1999年,板楼
18,金泰丽湾悦栖山 正规三居室  南北通透楼层好,金泰丽湾悦栖山 ,3室1厅,121.14平米,南北,精装,21层,null,板楼
19,富力尚悦居A区 3室2厅 南 北,富力尚悦居A区 ,3室2厅,112.2平米,南北,精装,中楼层(共20层),null,板楼
20,万科青青家园 4-5层复式上下两层 动静分开 满五年,万科青青家园 ,3室2厅,177.92平米,南北,简装,中楼层(共5层),null,板楼
