1,品质电器优选商家,非自营,SINGFUN/先锋,中国大陆,大1匹,五级,,定频,大1匹 单冷定频 不包安装大1匹 单冷定频 包安装大1匹 冷暖定频 不包安装大1匹 冷暖定频 包安装大1.5匹 单冷定频 不包安装大1.5匹 单冷定频 包安装大1.5匹 冷暖定频 不包安装大1.5匹 冷暖定频 包安装大1.5匹 冷暖变频 不包安装大1.5匹 冷暖变频 包安装大2匹 冷暖变频 不包安装大2匹 冷暖变频 包安装大1.5匹 冷暖变频 语音 不包安装大1.5匹 冷暖变频 语音 包安装大2匹 冷暖变频 语音 不包安装大2匹 冷暖变频 语音 包安装大1.5匹 冷暖新风 语音 不包安装大1.5匹 冷暖新风 语音 包安装大2匹 冷暖新风 语音 不包安装大2匹 冷暖新风 语音 包安装大2匹 冷暖柜机 语音 不包安装大2匹 冷暖柜机 语音 包安装
2,观立旗舰店,自营,GUAE/观立,,1100W,202106-10-612500-55863184760554,16㎡-20㎡,定速,1匹单冷（送货入户）不含安装 1匹单冷（送货入户）包含安装 1匹冷暖（送货入户）不含安装 1匹冷暖（送货入户）包含安装 大1匹单冷（送货入户）不含安装 大1匹单冷（送货入户）包含安装 大1匹冷暖（送货入户）不含安装 大1匹冷暖（送货入户）包含安装 大1.5匹单冷（送货入户）不含安装 大1.5匹单冷（送货入户）包含安装 大1.5匹冷暖（送货入户）不含安装 大1.5匹冷暖（送货入户）包含安装
3,midea美的一米专卖店,自营,Midea/美的,中国大陆,,2匹一室一厅【全一级能效】 一室一厅【全一级能效】 二室一厅【全一级能效】 三室一厅【店长推荐/全一级能效】 四室一厅【全一级能效】 咨询客服/主播再享大额优惠,,,2匹一室一厅【全一级能效】 一室一厅【全一级能效】 二室一厅【全一级能效】 三室一厅【店长推荐/全一级能效】 四室一厅【全一级能效】 咨询客服/主播再享大额优惠
4,空调厂家实惠店,非自营,ZHIZHAHUAXIANGJI,中国大陆,大1.5匹,一级,,变频,一匹单冷全铜管（无安装）一匹单冷全铜管（基础安装）大一匹单冷全铜管（无安装）大一匹单冷全铜管（基础安装）大一匹冷暖全铜管（无安装）大一匹冷暖全铜管（基础安装）大1.5匹单冷全铜管（无安装）大1.5匹冷单冷全铜管（基础安装）大1.5匹冷暖全铜管（无安装）大1.5匹冷暖全铜管（基础安装）大1.5匹一级变频全铜管（无安装）大1.5匹一级变频全铜管（基础安装）大2匹冷暖全铜管（无安装）大2匹冷暖全铜管（基础安装）大2匹冷暖变频全铜管（无安装）大2匹冷暖变频全铜管（基础安装）1匹-铝管-内机-无安装
5,WOTK电器旗舰店,自营,WOTK,,800W,【单冷款】小1匹 | 升级铜管 | 质保十年 | 无安装 【单冷款】小1匹 | 升级铜管 | 质保十年 | 带安装 【单冷款】正1匹 | 升级铜管 | 质保十年 | 无安装 【单冷款】正1匹 | 升级铜管 | 质保十年 | 带安装 【冷暖款】正1匹 | 升级铜管 | 质保十年 | 无安装 【冷暖款】正1匹 | 升级铜管 | 质保十年 | 带安装 【单冷款】大1匹 | 升级铜管 | 质保十年 | 无安装 【单冷款】大1匹 | 升级铜管 | 质保十年 | 带安装 【冷暖款】大1匹 | 升级铜管 | 质保十年 | 无安装 【冷暖款】大1匹 | 升级铜管 | 质保十年 | 带安装 【单冷款】大1.5匹 | 升级铜管 | 质保十年 | 无安装 【单冷款】大1.5匹 | 升级铜管 | 质保十年 | 带安装 【冷暖款】大1.5匹 | 升级铜管 | 质保十年 | 无安装 【冷暖款】大1.5匹 | 升级铜管 | 质保十年 | 带安装 【冷暖款】大2匹 | 升级铜管 | 质保十年 | 无安装 【冷暖款】大2匹 | 升级铜管 | 质保十年 | 带安装 【变频款】大1匹 | 冷暖两用 | 一级能效 | 无安装 【变频款】大1匹 | 冷暖两用 | 一级能效 | 带安装 【变频款】大1.5匹 | 冷暖两用 | 一级能效 | 无安装 【变频款】大1.5匹 | 冷暖两用 | 一级能效 | 带安装,10㎡-15㎡,定频,【单冷款】小1匹 | 升级铜管 | 质保十年 | 无安装 【单冷款】小1匹 | 升级铜管 | 质保十年 | 带安装 【单冷款】正1匹 | 升级铜管 | 质保十年 | 无安装 【单冷款】正1匹 | 升级铜管 | 质保十年 | 带安装 【冷暖款】正1匹 | 升级铜管 | 质保十年 | 无安装 【冷暖款】正1匹 | 升级铜管 | 质保十年 | 带安装 【单冷款】大1匹 | 升级铜管 | 质保十年 | 无安装 【单冷款】大1匹 | 升级铜管 | 质保十年 | 带安装 【冷暖款】大1匹 | 升级铜管 | 质保十年 | 无安装 【冷暖款】大1匹 | 升级铜管 | 质保十年 | 带安装 【单冷款】大1.5匹 | 升级铜管 | 质保十年 | 无安装 【单冷款】大1.5匹 | 升级铜管 | 质保十年 | 带安装 【冷暖款】大1.5匹 | 升级铜管 | 质保十年 | 无安装 【冷暖款】大1.5匹 | 升级铜管 | 质保十年 | 带安装 【冷暖款】大2匹 | 升级铜管 | 质保十年 | 无安装 【冷暖款】大2匹 | 升级铜管 | 质保十年 | 带安装 【变频款】大1匹 | 冷暖两用 | 一级能效 | 无安装 【变频款】大1匹 | 冷暖两用 | 一级能效 | 带安装 【变频款】大1.5匹 | 冷暖两用 | 一级能效 | 无安装 【变频款】大1.5匹 | 冷暖两用 | 一级能效 | 带安装
6,hyundai现代空调旗舰店,自营,冰晶白 正1P单冷【500强品牌】顺丰入户 无安装 正1P单冷【500强品牌】顺丰入户 含安装 大1P单冷【500强品牌】顺丰入户 无安装 大1P单冷【500强品牌】顺丰入户 含安装 正1P冷暖【500强品牌】顺丰入户 无安装 正1P冷暖【500强品牌】顺丰入户 含安装 大1P冷暖【500强品牌】顺丰入户 无安装 大1P冷暖【500强品牌】顺丰入户 含安装 大1.5P单冷【500强品牌】顺丰入户 无安装 大1.5P单冷【500强品牌】顺丰入户 含安装 大1.5P冷暖【500强品牌】顺丰入户 无安装 大1.5P冷暖【500强品牌】顺丰入户 含安装 三级变频丨大1.5P冷暖丨顺丰入户丨无安装 三级变频丨大1.5P冷暖丨顺丰入户丨含安装 一级变频丨大1.5P冷暖丨顺丰入户丨无安装 一级变频丨大1.5P冷暖丨顺丰入户丨含安装 2P冷暖挂机【500强品牌】顺丰入户 无安装 2P冷暖挂机【500强品牌】顺丰入户 含安装 3P冷暖挂机【500强品牌】顺丰入户 无安装 3P冷暖挂机【500强品牌】顺丰入户 含安装,,1200W,202104-10-612500-32884534093116,14㎡-21㎡,定速,冰晶白 正1P单冷【500强品牌】顺丰入户 无安装 正1P单冷【500强品牌】顺丰入户 含安装 大1P单冷【500强品牌】顺丰入户 无安装 大1P单冷【500强品牌】顺丰入户 含安装 正1P冷暖【500强品牌】顺丰入户 无安装 正1P冷暖【500强品牌】顺丰入户 含安装 大1P冷暖【500强品牌】顺丰入户 无安装 大1P冷暖【500强品牌】顺丰入户 含安装 大1.5P单冷【500强品牌】顺丰入户 无安装 大1.5P单冷【500强品牌】顺丰入户 含安装 大1.5P冷暖【500强品牌】顺丰入户 无安装 大1.5P冷暖【500强品牌】顺丰入户 含安装 三级变频丨大1.5P冷暖丨顺丰入户丨无安装 三级变频丨大1.5P冷暖丨顺丰入户丨含安装 一级变频丨大1.5P冷暖丨顺丰入户丨无安装 一级变频丨大1.5P冷暖丨顺丰入户丨含安装 2P冷暖挂机【500强品牌】顺丰入户 无安装 2P冷暖挂机【500强品牌】顺丰入户 含安装 3P冷暖挂机【500强品牌】顺丰入户 无安装 3P冷暖挂机【500强品牌】顺丰入户 含安装
7,MyLloyd旗舰店,自营,MY LLOYD,,1080W,五级,15㎡-19㎡,定频,小一匹单冷铝管-【自行安装】 小一匹单冷铝管-【上门安装】 正一匹单冷强劲压缩机-【自行安装】 正一匹单冷强劲压缩机-【上门安装】 正一匹冷暖强劲压缩机-【自行安装】 正一匹冷暖强劲压缩机-【上门安装】 大一匹单冷强劲压缩机-【自行安装】 大一匹单冷强劲压缩机-【上门安装】 大一匹冷暖强劲压缩机-【自行安装】 大一匹冷暖强劲压缩机-【上门安装】 大1.5匹单冷强劲压缩机-【自行安装】 大1.5匹单冷强劲压缩机-【上门安装】 大1.5匹冷暖强劲压缩机-【自行安装】 大1.5匹冷暖强劲压缩机-【上门安装】 2匹冷暖强劲压缩机-【自行安装】 2匹冷暖强劲压缩机-【上门安装】 大一匹冷暖变频一级强劲压缩机-【自行安装】 大一匹冷暖变频一级强劲压缩机-【上门安装】 大1.5匹冷暖变频一级强劲压缩机-【自行安装】 大1.5匹冷暖变频一级强劲压缩机-【上门安装】
8,hyundai现代空调旗舰店,自营,HYUNDAI,,1200W,20230506-611100-46581683338880058,15㎡-22㎡,变频,大1P冷暖【变频一级能效】上门安装 大1.5P单冷【变频一级能效】上门安装 大1.5P冷暖【变频三级能效】上门安装 大1.5P冷暖【变频一级能效】上门安装 正1P单冷【六年质保】不含安装 正1P单冷【六年质保】上门安装 大1P单冷【六年质保】不含安装 大1P单冷【六年质保】上门安装 正1P冷暖【六年质保】不含安装 正1P冷暖【六年质保】上门安装 大1P冷暖【六年质保】不含安装 大1P冷暖【六年质保】上门安装 大1.5P单冷【六年质保】不含安装 大1.5P单冷【六年质保】上门安装 正1.5P冷暖【六年质保】不含安装 正1.5P冷暖【六年质保】上门安装 大1.5P冷暖【六年质保】不含安装 大1.5P冷暖【六年质保】上门安装 2P冷暖【六年质保】不含安装 2P冷暖【六年质保】上门安装 3P冷暖【六年质保】不含安装 3P冷暖【六年质保】上门安装
9,申花生活体验馆,非自营,申花,中国大陆,1000W,20231026-611100-99841698282090128,15㎡-22㎡,变频,大1匹单冷【三级变频】不含安装大1匹单冷【三级变频】含安装大1匹单冷【一级变频】不含安装大1匹单冷【一级变频】含安装大1匹冷暖【一级变频】不含安装大1匹冷暖【一级变频】含安装大1.5匹单冷【一级变频】不含安装大1.5匹单冷【一级变频】含安装大1.5匹冷暖【一级变频】不含安装大1.5匹冷暖【一级变频】含安装大1.5匹冷暖【三级变频】不含安装大1.5匹冷暖【三级变频】含安装大2匹单冷圆柱【三级变频】不含安装大2匹单冷圆柱【三级变频】含安装大2匹冷暖圆柱【一级变频】不含安装大2匹冷暖圆柱【一级变频】含安装大3匹冷暖圆柱【一级变频】不含安装大3匹冷暖圆柱【一级变频】含安装
10,,自营,RZIE/RZIE 印三凌,,780W,五级,16㎡-20㎡,变频,小1匹单冷/5平方内/铜管 全国联保 自行安装 小1匹单冷/5平方内/全国联保/铜管 带安装 一匹单冷/全国联保/十年质保/铜管/自行安装 一匹单冷/全国联保/十年质保/铜管/带安装 正一匹冷暖/全国联保/十年质保/铜管/自行安装 正一匹冷暖/全国联保/十年质保/铜管/带安装 大一匹单冷/全国联保/十年质保/铜管/自行安装 大一匹单冷/全国联保/十年质保/铜管/带安装 大一匹冷暖/全国联保/十年质保/铜管/自行安装 大一匹冷暖/全国联保/十年质保/铜管/带安装 大1.5p单冷/全国联保/十年质保/铜管/自行安装 大1.5p单冷/全国联保/十年质保/铜管/带安装 大1.5p冷暖/全国联保/十年质保/铜管/自行安装 大1.5p冷暖/全国联保/十年质保/铜管/带安装 大2匹冷暖/全国联保/十年质保/铜管/自行安装 大2匹冷暖/全国联保/十年质保/铜管/带安装 【一级变频】/大一匹冷暖/全国联保/十年质保/铜管/自行安装 【一级变频】/大一匹冷暖/全国联保/十年质保/铜管/带安装 【一级变频】/大1.5匹冷暖/全国联保/十年质保/铜管/自行安装 【一级变频】/大1.5匹冷暖/全国联保/十年质保/铜管/带安装 小一匹单冷-铝管-无外机-自行安装
