chaoxiang,detailUrl,huxing,jiegou,louceng,mianji,nianfen,picUrl,position,price,title,zhangxiu
 南 北 ,https://bj.lianjia.com/ershoufang/101122545946.html,3室2厅 , 板楼, 15层  , 101.81平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-pLvFlndWyFaGZkGH721WCt/910095226b175ef79deae906f0c78e1e/1704618211_3/pc0_LPJS23WrI.jpg,绿地朗山公馆南区 ,"21,118元/平",绿地朗山公馆南区 电梯次新房 安静整洁 配套齐全, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123559564.html,3室2厅 , 板楼, 中楼层(共11层) , 129.92平米 , 2016年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-RSLZ1F3gsO11ql0PDpG4Nj/440051932bb012b84b574a90347c99af/1711184573_21/pc0_YdxeSClHi.jpg,紫宸苑 ,"47,183元/平",紫宸苑南北通透三居室，小区中间楼层，中间位置, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101123371138.html,2室1厅 , 板楼, 6层 , 56.65平米 , 1980年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-zyH5pqNSlcCOlUeY5khiE1/90d7e3b80064e9c96665737bdca5d3d9/1710641740_4/pc0_L5bLeLpns.jpg,军庄杨坨小区 ,"20,301元/平",军庄杨坨小区 2室1厅 南 北, 精装 
 西北 ,https://bj.lianjia.com/ershoufang/101123299798.html,2室1厅 , 塔楼, 高楼层(共22层)  , 94.2平米 ,null,https://vrlab-image4.ljcdn.com/release/auto3dhd/100e8e52e7fd854c23c38c3ed98f6d39/screenshot/1679800517_0/pc0_qVTgWuWLO.jpg,九龙花园 ,"58,918元/平",东三环 双井 九龙花园 次顶层视野好两居室 诚意出售, 简装 
 南 ,https://bj.lianjia.com/ershoufang/101121020403.html,2室1厅 , 板楼, 中楼层(共13层)  , 93.17平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-dj5WVUvg8gCmtmfhYFf3m_/cd3a61b4d26ebba84dbb1b350f232f43/1710921685_8/pc0_emOlsnOac.jpg,建邦华府 ,"68,155元/平",建邦华府全南两居室，精装修，2009年小区, 精装 
 南 ,https://bj.lianjia.com/ershoufang/101121703578.html,2室2厅 , 板楼, 顶层(共6层) , 52.95平米 , 1982年 ,https://vrlab-image4.ljcdn.com/release/auto3dhd/53abb523bb3bf0a028ec020000234c56/screenshot/1656743985_3/pc0_Ufc5uvpPl.jpg,团结湖中路北二条 ,"54,769元/平",团结湖公园 呼家楼地铁 两居室双朝南, 精装 
 西北 ,https://bj.lianjia.com/ershoufang/101123490282.html,1室1厅 , 板楼, 低楼层(共9层)  , 60.84平米 ,null,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-nSP4Y8wJtBwUW2uSfZuqZS/06857b270f471984af50e1fae30d62bc/1713759776_2/pc0_B7g3XHOfL.jpg,远洋天地一期 ,"71,664元/平",东西环四惠远洋天地一期 满五唯一 9层小板楼 一梯3户, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101121967554.html,2室1厅 , 板楼, 中楼层(共6层) , 81.11平米 , 2007年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-eL6oxdFkunWxQjPfgyz8Oj/6eadf78be9eca6c44bc3c4a6a41f095d/1700380559_3/pc0_5eWcXsnw6.jpg,古城小街5号院 ,"53,631元/平",古城小街5号院  南边通透  满五年  中间楼层 楼龄新, 简装 
 南 北 ,https://bj.lianjia.com/ershoufang/101121057022.html,5室2厅 , 叠拼别墅, 下叠(共4层)  , 285.63平米 , 板楼 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-vTn2pDgP_vcj7SHVKs58VC/b6adda17aaec99be3ddb5ef4e13ad143/1695016623_31/pc0_X7muS8c9k.jpg,中海安德鲁斯庄园东区 ,"46,564元/平",快快快来看！！东区下叠别墅 上二下一 私聊底价, 精装 
 南 北 ,https://bj.lianjia.com/ershoufang/101122233405.html,2室1厅 , 板楼, 18层 , 53.96平米 , 2014年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-1PqLbe6vlICGskK5W75BqR/ce84ae17450a9eea634cc479ab655bda/1706514337_0/pc0_TsVkopY3o.jpg,康泽佳苑南区 ,"31,135元/平",康泽佳苑南区 满五唯一 商品房 采光好, 毛坯 
 南 北 ,https://bj.lianjia.com/ershoufang/101121373068.html,2室1厅 , 板楼, 底层(共5层) , 50.29平米 , 1982年 ,https://vrlab-image4.ljcdn.com/release/screenshot/auto3d-ZULCpsFTEXFNH_pT71AP52/2e2b51ed6bfaeca83086372957b9e021/1696832352_9/pc0_pY1yUVjAR.jpg,北苑村 ,"57,666元/平",【总监推荐】北苑路北 北苑村 精装修南北通透两居, 精装 
