ask,com_finance,com_name,com_people,com_type,id,keyword,welfare
服务员3人，薪资6000左右 上六休一，根据领班的要求一周排休一天，也可根据自己的需要排休。  法定假日带薪休假调休，过节有福利，过年放假，上满一年年底双薪。  包吃：免费员工工作餐，有专属食堂，伙食非常好。  包住：员工宿舍，配有网络，空调，电风扇、暖气，电视房、公共洗浴室等。酒店免费提供被褥被套。  能做的速度与我联系[呲牙][呲牙] 原标题：《急聘服务员6000起管吃住》 薪资范围：5000-6000元/月 发薪日：15日 底薪：4800元/月 提成方式：销售额提成； 奖金补贴：包吃·包住,,糖公鸡,100-499人,餐饮,1,中餐馆 火锅店 餐前服务 传菜 全职 步行10分钟以内,意外险 五险一金 意外险 五险一金 意外险 五险一金 意外险 五险一金
工作职责： 1、负责公司私域用户增长工作，制定营销获客体系并执行拉新策略，保障营收指标的达成； 2、负责整合公司全域网络、信息流、自媒体等各渠道的资源，制定拉新策略实现用户导流； 3、跟踪市场动态，根据目标客户画像及需求点拓展新的增长渠道，进行有效触达及引流； 4、挖掘用户需求，策划并执行线上和线下拉新活动，提高用户转化率； 5、负责公司现有拉新渠道，进行拉新策略优化以及用户增长数量的提升。 任职要求： 1、熟悉互联网内容生产及用户运营增长策略，对信息流媒体等有丰富运营经验； 2、具备线上流量运营、客户培育、内容分发以及线上线下活动策划、拉新促活等经验； 3、较强的创新能力，具备市场敏感度数据分析能力和团队协作能力。 千字文华是一家图书领域品牌电商，旗下品牌——先知书店。 先知书店是一家人文社科图书精选线上书店，经过数年图书领域的深耕和积淀，在碎片化阅读时代，倡导严肃阅读，通过传播人类数千年以来累计的智慧与文明结晶的经典书籍，为读者打开通往真知与智慧的大门。 自创立以来，先知书店秉持“让读好书的人，先知道未来”的愿景，依托互联网时代新媒体传播，致力于通过专业团队为读者臻选值得阅读、收藏的经典好书，通过严谨的深度阅读，帮助读者完成从知识到智识的跃升。 在图书选品上，先知书店去粗取精，只为好书而生，将目光凝聚于哲学、世界史、中国史、政治学、经济学、社会学、人类学、文学、艺术、宗教、心理学、自然科学、商业、金融等15大领域，常年在售精选图书约3000种，并拥有大量中外独家销售图书、签名书等，深受读者喜爱。 尤为重要的是，先知书店还为深度书友提供“把先知书店带回家”、“先知图书馆”等定制图书服务，为书友和机构一次性打造厚重、极具阅读价值和收藏意义的家庭书房和机构图书馆。 此外，先知书店注重发掘、锤炼书籍的内容价值，拥有一个专业的书籍内容发掘团队，以及高效的图书销售团队。 因此，先知书店也越来越为书友、作家作者、出版界和书店同行们所尊重。 如今，先知书店日常服务的资深书友超过15万人，并开拓了多家线下加盟书店，在传统书店相对生存不易、公众时间越发分散的时代，走出了一条特色鲜明、影响力越来越大的书店道路。,不需要融资,先知书店,20-99人,社交网络与媒体,2,社群运营经验 沟通能力好 不接受居家办公,节日福利 零食下午茶 带薪年假 年终奖 五险一金 节日福利 零食下午茶 带薪年假 年终奖 五险一金 节日福利 零食下午茶 带薪年假 年终奖 五险一金 节日福利 零食下午茶 带薪年假 年终奖 五险一金
1、计算机或相关专业本科以上学历，5年以上JAVA开发经验； 2、精通JAVA基础，熟悉面向对象设计思想，熟悉多线程、锁的机制、JVM原理，能进行JVM调优； 3、熟悉Spring、SpringBoot、SpringCloud框架开发技术；  4、熟练使用Oracle，Mysql，postgresql等主流数据库，熟悉SQL调优，了解常见的分库分表等DB优化方案； 5、熟悉分布式消息中间件(RabbitMq、 Kafka等)，熟悉缓存中间件(Redis等) 并能针对以上使用场景进行合理使用并优化配置； 6、熟悉基本的Linux命令； 7、熟悉容器技术（docker等），进行项目的容器化部署； 8、熟悉spark、hive、hdfs、yarn等大数据框架和技术，掌握并使用过常用的OLAP引擎ClickHouse、Doris、StarRocks一种以上优先。,,捷坤,100-499人,计算机软件,4,Java Spring SpringCloud Oracle MySQL PostgreSQL ClickHouse、Doris Linux,
2.有制造端、仓储物流相关项目经验 3.工作经验3年以上,,嘉睿时代,20-99人,计算机软件,5,Java Spring MySQL 汽车行业,
岗位职责: 帮助个人或者中小型企业做资金周转业务 任职要求: 可接受小白 有人带 善于沟通 性格外向 岗位福利: 缴纳五险 节假日正常休息 午休一个半小时 公司步行地铁站近 提成 绩效 奖金 面签奖励 面谈奖励 定期团建 下午茶 提成20%-50% 教育背景: 只要想赚钱 学历不是问题！ 行业经验: 有人带 三个月内保证开单 岗位经验: 可小白 薪资范围：5000-8000元/月 底薪：5000元/月 社保类型：五险 提成方式：按单提成； 面签奖励 面谈奖励 奖金补贴：年终奖，绩效奖金，全勤奖,,禾创羽扬,20-99人,其他金融业,6,无经验要求 电话销售经验 金融产品,
"岗位职责： 1.地图基础数据标注，包括路网数据制作，附路网属性及纠偏等； 2.结合业务需求，完成标注任务； 3.有地图标注经验者优先考虑。 任职要求： 1.快速理解业务需求点； 2.熟练掌握电脑基本操作技能； 3.有职业操守，遵守保密要求； 4.专业不限，可接收实习生，有地图标注经验者优先考虑； 5.无经验者免费提供技术培训（1-2个月）。 福利待遇：五险一金、包住、免费技术培训 湖北美驿天程信息服务有限公司  湖北美驿天程信息服务有限公司，成立于2010年,注册资本1008万元,主营业务为软件开发、技术服务、数据处理服务、企业管理咨询等服务；深耕于智慧城市、大数据时代、地图行业数十载，有着非常丰富的行业经验和经营管理团队，公司已获得相关政府部门颁发的乙级测绘资质，目前在职员工共计500+人！ 　　 知名集团合作伙伴： 高德软件公司： 高德是中国领先的数字地图内容、导航和位置服务解决方案提供商。公司于2002年成立，2010年登陆美国纳斯达克全球精选市场。高德拥有导航电子地图甲级测绘资质、测绘航空摄影甲级资质和互联网地图服务甲级测绘资质“三甲”资质，其优质的电子地图数据库成为公司的核心竞争力。2014年4月被阿里巴巴以15亿美金全资收购。 高德的业务覆盖三大领域: 互联网和移动互联网、车载导航、政府和企业应用。 2013年本公司在九省通衢的武汉，组建了高德电子地图的全国数据制作项目团队，团队成员近100人；2014年进驻高德本部成立项目部，团队成员近60人，无缝对接世界500强企业培养和发展成长!在服务外包过程中，公司作为高德在华中地区成立时间较早的电子地图外包商，以实力获得了与高德的真诚合作！ 百度地图： 百度地图自2005年上线以来，秉持“科技让出行更简单”的品牌使命，以""科技""为手段不断探索创新，已经发展成为国内领先的互联网地图服务商。 2018年公司实现质的飞跃，携手百度地图在武汉打造100+人规模团队并成为百度年度潜力供应商，工作成果赶超百度老供应商。 丰图科技： 丰图科技（深圳）有限公司成立于2018年6月，前身为顺丰科技地理信息研发中心，是顺丰集团内部孵化的一家专注于地图领域的科技公司，于2018年12月开始独立运营。丰图以GIS技术为核心，运用物联网、大数据、计算机视觉、机器学习等前沿技术，致力于构建面向AI时代的智能位置操作系统，为政府、企业与公众提供最值得信赖的位置决策服务。 2021年疫情之后公司不退反进，开拓新的疆土—顺丰旗下丰图科技，丰富的行业团队经验成为最具实力新星合作商 高校联盟合作伙伴： 公司成立期间与武汉财贸学校、武汉长江工商学院、武汉商学院、江汉大学、武汉城市职业技术学院、武汉船舶职业技术学院、武汉交通职业学院、湖北省旅游学校、、武汉工程职业技术学院、武汉职业技术学院、湖北省交通职业技术学院、武昌职业学院、武昌工学院、湖北第二师范学院、湖北商贸学院、东湖学院、汉口学院、长江工程职业技术学院、湖北文理学院、湖北文理学院理工学院、等二十余所高校都建立了长期稳定的良好合作关系。",未融资,美驿天程,100-499人,计算机服务,7,全职工作,节日福利 零食下午茶 员工旅游 带薪年假 全勤奖 加班补助 年终奖 意外险 补充医疗保险 五险一金 节日福利 零食下午茶 员工旅游 带薪年假 全勤奖 加班补助 年终奖 意外险 补充医疗保险 五险一金 节日福利 零食下午茶 员工旅游 带薪年假 全勤奖 加班补助 年终奖 意外险 补充医疗保险 五险一金 节日福利 零食下午茶 员工旅游 带薪年假 全勤奖 加班补助 年终奖 意外险 补充医疗保险 五险一金
包厢接待，五官端正，在一家店有过半年以上高服经验，                               工作内容：高级别会议接待服务、商务洽谈、签约仪式全程服务等分餐制宴会服务；旅游专业、酒店专业、空乘服务优先；能驾驭裙装、及高跟鞋即可、形象好、气质佳， 原标题：《高服》 薪资范围：6000-7000元/月 发薪日：15日 底薪：6500元/月 奖金补贴：加班费，绩效奖金,,辰展餐饮,100-499人,餐饮,8,全职 做过服务员 直营店经验 个体餐饮店经验 普通话流利 餐前服务经验 日料店,
要求: 1、热爱时尚花艺，并有较高悟性，对色彩有独到见解和理解能力。 2、具备一定花艺知识和基本功，熟悉切花和园艺植物的保养。 3、能独立完成花艺标准产品的制作。 4、能熟悉季节花材，并会做预算和成本控制。 5、有店铺工作者优先，熟悉各种花材和花器的特性、材质。 6、可做气球派对，各种主题宴会的布置 公司成立于2024年 办公地址在 北京市门头沟区新城东街19号院5-30底商（今喜） 主要经营 美甲 美睫 鲜花 婚庆,未融资,今喜花艺,0-20人,婚庆/摄影,9,,节日福利 零食下午茶 全勤奖 夜班补助 底薪加提成 节日福利 零食下午茶 全勤奖 夜班补助 底薪加提成 节日福利 零食下午茶 全勤奖 夜班补助 底薪加提成 节日福利 零食下午茶 全勤奖 夜班补助 底薪加提成
全职&兼职托管老师均可 岗位职责： 1、	准时接送学生，绝对保证孩子安全。 2、	负责1-6年级孩子的课后辅导。 3、	教学方面保证学生当天作业完成，有质有量，鼓励独立，讲解疑难。 4、	负责班级生活管理，教师环境的布置，卫生保持，文案归档等。 5、	做好班级硬件设施的维护日常保养、保修。 6、	与家长保持良好的的沟通，建立良好的学校形象。 任职资格： 1、	有爱心、耐心、一心致力于教育行业。 2、	大专以上学历，有教师资格证优先，普通话标准，善于沟通，具有团队合作精神。 3、	周末双休、节假日福利等。 4、	周一至周四16：00-20:00、周五15：00-20：00,不需要融资,朝阳区学优乐培训学校,20-99人,培训/辅导机构,10,学前教育 小学教育 线下授课 教师资格证(小学) 数学 英语 语文 兼职,交通补助 生日福利 节日福利 团建聚餐 零食下午茶 带薪年假 全勤奖 保底工资 绩效奖金 年终奖 五险一金 交通补助 生日福利 节日福利 团建聚餐 零食下午茶 带薪年假 全勤奖 保底工资 绩效奖金 年终奖 五险一金 交通补助 生日福利 节日福利 团建聚餐 零食下午茶 带薪年假 全勤奖 保底工资 绩效奖金 年终奖 五险一金 交通补助 生日福利 节日福利 团建聚餐 零食下午茶 带薪年假 全勤奖 保底工资 绩效奖金 年终奖 五险一金
"""1、计算机相关专业，本科及以上学历，3~5年以上实际Java开发经验； 2、精通Java语言，精通spring、mybatis 、Spring Boot，Spring Cloud等主流框架； 3、精通MySQL、PostgreSQL，熟悉MySQL、PostgreSQL调优技巧,掌握复杂SQL语句的编写; 4、熟悉分布式架构原理，精通微服务架构设计，熟悉熟悉RPC框架（如Dubbo），并在核心项目中有重点使用； 5、熟悉分布式系统基础设施中常用的技术，如缓存、消息中间件、搜索引擎等； 6、具有丰富的系统分析与架构设计实践经验，熟悉多线程、高并发、高可用性、高扩展性系统架构设计； 7、熟练使用UNIX、LINUX 运维，了解Docker、编排工具、自动化运维相关技术； 8、具有良好的沟通协调能力，责任心强，有团队合作意识； 岗位职责： ""1、根据产品需求独立完成程序编码、测试和涉及到的文档编写工作 2、负责对软件架构、关键构件、接口的设计，技术难题攻关，解决性能和安全性问题； 3、负责系统集成和调优等研发工作； 4、负责后端系统业务代码和核心代码编写和按时交付，保证交付质量和负责版本维护；"" 深圳市法本信息技术股份有限公司（以下简称：法本信息）是全国领先的软件技术服务提供商，致力于通过创新技术服务帮助客户快速实现业务目标，取得商业成功。公司成立于2006年，至2021年，员工规模已超19000人。其总部位于中国深圳，目前公司在香港设有子公司，在北京、上海、广州、南京、杭州设有分公司，在武汉、长沙、成都、西安、佛山等城市设立办公室，业务范围覆盖全国，并在积极拓展海外业务。 法本信息在十多年的信息技术服务与探索中，积累了丰富的实战技术资源、专业人才资源、标杆客户资源，并构建了逐步成熟的过程实施与质量管控体系，这些软实力构成了法本信息优秀的资源基础。在此基础上，法本信息紧随时代前沿技术，是首批对大数据、云计算、物联网、人工智能、移动、社交、信息安全等核心技术做成功应用的服务商之一，有着领先的技术能力。同时，法本信息基于客户的实际业务的应用场景做深入研究，以洞察行业特性和本质，开发并成功实践行业解决方案。 法本信息客户遍布金融、互联网、通信、物流、航空、房地产、制造业等行业的领先企业。公司在以信息技术助推客户的商业升级中，采用“匹配、联合”的战略与客户做深度合作，从而形成了丰富而优秀的客户资源。在未来，我们将通过和优质客户进行业务全价值链的紧密合作，营造良好生态，用创新来共同改变世界。",已上市,法本,10000人以上,计算机软件,11,Java SpringCloud MyBatis Zookeeper Oracle Redis MySQL 不接受居家办公 分布式经验 微服务经验,节日福利 零食下午茶 员工旅游 带薪年假 加班补助 定期体检 五险一金 企业文化 节日福利 零食下午茶 员工旅游 带薪年假 加班补助 定期体检 五险一金 企业文化 节日福利 零食下午茶 员工旅游 带薪年假 加班补助 定期体检 五险一金 企业文化 节日福利 零食下午茶 员工旅游 带薪年假 加班补助 定期体检 五险一金 企业文化
