address,area,birthday,constellation,ename,height,language,name,people_id,sex,weight
台湾新北市林口区,中国台湾,1979-01-18,魔羯座,-,173cm,国语;,周杰伦,1,男,60kg
-,中国,-,-,-,-,-,海来阿木,2,男,-
辽宁沈阳,中国,1989-09-17,处女座,-,176cm,国语;,汪苏泷,3,男,60kg
湖南省邵阳市,中国,1992-09-29,天平座,-,-,国语,周深,4,男,-
北京,中国,1986-07-20,巨蟹座,-,175cm,-,赵雷,5,男,-
中国安徽,中国,-,牡羊座,-,166cm,国语;,程响,6,女,49kg
纽约罗切斯特,美国,1976-05-17,金牛座,-,180cm,英语;国语;,王力宏,7,男,66kg
天津,中国,1989-09-10,处女座,-,168cm,国语,张碧晨,8,女,46kg
新加坡,新加坡,1981-03-27,白羊座,-,172cm,英语;国语;,林俊杰,9,男,60kg
香港,中国香港,1974-07-27,狮子座,-,173cm,国语;粤语;,陈奕迅,10,男,72kg
台湾云林县褒忠乡田洋村,中国台湾,1953-01-29,水瓶座,-,167cm,闽南语;国语,邓丽君,11,女,47kg
上海,中国香港,1991-08-16,狮子座,-,160.2cm,国语;粤语;,G.E.M.邓紫棋,12,女,45kg
中国香港鲗鱼涌,中国香港,1961-7-10,巨蟹座,-,176cm,英语;国语;粤语;,张学友,13,男,64kg
江苏徐州,中国,1994-09-29,天平座,-,-,-,小阿枫,14,男,-
中国,中国,-,-,-,-,国语;,凤凰传奇,15,组合,-
香港,中国香港,-,-,-,-,英语;粤语;,Beyond,16,乐队,-
黑龙江齐齐哈尔,中国,1994-10-01,天平座,-,-,国语,毛不易,17,男,-
香港新界大埔镇泰亨村,中国香港,1961-09-27,天秤座,-,174cm,国语;粤语;英语;,刘德华,18,男,63kg
-,中国,-,-,-,-,-,黄静美,19,女,-
中国成都,中国,1982-12-20,射手座,-,179cm,国语;,张杰,20,男,68kg
安徽合肥,中国,1986-05-14,金牛座,-,182.1cm,国语;,许嵩,21,男,60kg
台湾,中国台湾,1969-06-07,双子座,-,178cm,国语;,周传雄,22,男,68kg
台湾桃园县中坜市,中国台湾,1982-01-19,魔羯座,-,158cm,国语;,张韶涵,23,女,40kg
北京,中国香港,1969-08-08,狮子座,-,172cm,国语;粤语;,王菲,24,女,50kg
中国上海,中国,1983-07-17,巨蟹座,-,172cm,国语;,薛之谦,25,男,55kg
台湾云林西螺,中国台湾,1967-03-26,牡羊座,-,173cm,英语;国语;粤语;,张信哲,26,男,66kg
香港,中国,1950-08-23,处女座,-,174cm,国语;粤语;,谭咏麟,27,男,60kg
内蒙古,中国,1995-3-2,-,-,160cm,国语,阿悠悠,28,女,41kg
-,中国,-,-,-,-,-,DJ散人,29,男,-
中国台湾,中国台湾,1969-04-27,金牛座,-,158cm,国语;,李翊君,30,女,45kg
台湾桃园县中坜市,中国台湾,1978-04-04,白羊座,-,181cm,国语;,杨宗纬,31,男,69kg
台湾新北市永和区,加拿大,1962-10-20,天秤座,-,174cm,国语;粤语;,王杰,32,男,64kg
香港,中国香港,1965-07-28,狮子座,-,158cm,国语;粤语;,陈慧娴,33,女,47kg
-,中国台湾,-,-,-,-,国语;,伍佰 & China Blue,34,乐队,-
吉林延边,中国,1980-12-04,射手座,-,180cm,国语;,金润吉,35,男,70kg
中国台湾省新竹县,中国台湾,1982-09-05,处女座,-,158cm,国语;,王心凌,36,女,41kg
丹麦,美国,1990-08-13,狮子座,-,-,-,唐伯虎Annie,37,女,-
台湾省彰化县,中国台湾,1966-6-23,巨蟹座,-,177cm,国语;,任贤齐,38,男,70kg
