chaoxiang,danjia,id,loucheng,mianji,score,shape,zhuangxiu
南,22344元/平米,1,底层,230.49平米,7.8,5室2厅3卫,精装修
南,13918元/平米,2,中层,97平米,6.2,3室2厅1卫,精装修
东,14396元/平米,3,中层,89.2平米,9.0,2室2厅1卫,简装修
南北,17677元/平米,4,中层,147.08平米,8.1,3室2厅2卫,精装修
南,7521元/平米,5,中层,87.75平米,8.6,3室2厅1卫,精装修
南,9789元/平米,6,中层,95平米,7.3,3室2厅1卫,精装修
东南,18265元/平米,8,中层,109.5平米,7.9,3室2厅2卫,中装修
南,14309元/平米,9,底层,97平米,6.2,3室2厅1卫,精装修
南北,9985元/平米,10,高层,259.38平米,7.7,5室2厅2卫,简装修
南北,35218元/平米,12,底层,298.14平米,9.0,6室3厅4卫,精装修
南,25506元/平米,13,底层,247平米,7.8,5室4厅3卫,精装修
西南,10708元/平米,14,高层,141.95平米,7.0,4室2厅2卫,毛坯
南,14615元/平米,15,低层,123.16平米,7.9,3室2厅2卫,精装修
南北,7890元/平米,16,低层,98.86平米,7.5,3室1厅1卫,精装修
东,17410元/平米,17,中层,52.27平米,7.0,2室1厅1卫,简装修
西南,31481元/平米,18,中层,31.13平米,7.8,1室0厅1卫,中装修
南,10208元/平米,19,高层,96平米,7.7,2室2厅1卫,精装修
南北,26250元/平米,20,高层,152平米,9.0,4室2厅2卫,毛坯
南,19260元/平米,21,高层,130.84平米,7.8,3室2厅1卫,中装修
南北,45993元/平米,23,顶层,256.56平米,9.0,7室2厅4卫,精装修
南北,9938元/平米,24,高层,259.6平米,7.7,5室2厅2卫,简装修
东南,16456元/平米,26,中层,147.67平米,8.1,3室2厅2卫,精装修
南北,10018元/平米,27,低层,179.67平米,7.9,3室2厅2卫,精装修
南北,14493元/平米,28,中层,103.5平米,8.8,3室2厅1卫,精装修
南北,6389元/平米,29,中层,36平米,5.0,1室1厅1卫,精装修
南北,5629元/平米,30,中层,93.97平米,7.6,3室2厅2卫,精装修
南,11971元/平米,32,低层,87.71平米,6.0,2室2厅1卫,精装修
南北,34555元/平米,33,顶层,191平米,7.1,4室2厅3卫,精装修
南,13541元/平米,34,高层,90.1平米,7.7,3室2厅1卫,精装修
南北,29410元/平米,35,中层,159.47平米,9.0,4室2厅2卫,简装修
南北,31667元/平米,36,高层,150平米, ,4室2厅3卫,精装修
南,9261元/平米,37,低层,85.3平米,7.7,2室2厅1卫,简装修
北,10097元/平米,38,中层,111.91平米,7.7,3室2厅2卫,简装修
南,9932元/平米,39,中层,89.61平米,8.3,3室2厅1卫,毛坯
南,10620元/平米,40,高层,115.82平米,7.2,3室2厅2卫,毛坯
南北,12686元/平米,41,中层,98.53平米,7.8,3室2厅1卫,毛坯
南北,7274元/平米,42,高层,130.61平米,7.0,4室2厅2卫,精装修
南,17382元/平米,43,顶层,106.43平米,7.5,2室2厅1卫,简装修
南北,15077元/平米,46,低层,87.55平米,8.8,3室2厅1卫,毛坯
南,29268元/平米,47,顶层,41平米,7.5,1室1厅1卫,精装修
南,12880元/平米,48,中层,125.78平米,7.5,3室2厅2卫,简装修
南北,7143元/平米,49,中层,119平米,7.0,3室2厅2卫,精装修
南北,34374元/平米,50,高层,235.64平米,9.0,4室2厅3卫,毛坯
南北,100995元/平米,51,底层,188.03平米,8.8,4室2厅3卫,豪华装修
南北,53846元/平米,52,高层,182平米,8.8,4室2厅3卫,精装修
南,7767元/平米,53,低层,103平米,7.9,3室2厅1卫,精装修
南,11983元/平米,55,中层,121平米,6.0,3室2厅1卫,精装修
南,16287元/平米,56,中层,87.8平米,8.7,2室2厅1卫,精装修
南,13406元/平米,57,底层,138平米,7.2,3室2厅2卫,简装修
南北,22601元/平米,59,高层,176.98平米,7.8,4室1厅2卫,精装修
南北,11220元/平米,61,中层,93.58平米,8.4,3室2厅1卫,精装修
