address,area,contacts,detail_url,id,price,title
北龙湖旁 近地铁可以多加盖百平的联排别墅 前后花园 有车位,家和万世花园别墅,许兵建,https://zz.esf.fang.com/chushou/10_183822639.htm,1,515万, 北龙湖旁 近地铁可以多加盖百平的联排别墅 前后花园 有车位
金水北老雅陈双地铁口万科精装修拎包入住赠送多第四代住宅可种花,万科翠湾中城,孙赞赞,https://zz.esf.fang.com/chushou/3_183854643.htm,2,135万, 金水北老雅陈双地铁口万科精装修拎包入住赠送多第四代住宅可种花
华润悦府 房龄新 电梯房 商业配套齐全 刚需两居,华润悦府,江桥,https://zz.esf.fang.com/chushou/3_183872342.htm,3,128.41万, 华润悦府 房龄新 电梯房 商业配套齐全 刚需两居
融创金水府 3室2厅2卫 精装 260万元,融创金林金水府,吕龙吉,https://zz.esf.fang.com/chushou/3_183840908.htm,4,260万, 融创金水府 3室2厅2卫 精装 260万元
现房 市区千亿国企华侨城 7500起 地铁欢乐谷 玛雅海滩水,中原华侨城,孙赞赞,https://zz.esf.fang.com/chushou/3_183855048.htm,5,66万, 现房 市区千亿国企华侨城 7500起 地铁欢乐谷 玛雅海滩水
万科都会天际(6期) 地铁口性价比好楼层精装修现房 高品质精,万科大都会,孙赞赞,https://zz.esf.fang.com/chushou/3_183826412.htm,6,93万, 万科都会天际(6期) 地铁口性价比好楼层精装修现房 高品质精
"(订房交钥匙)现房 花园洋房 精装修的!惠济房本,3室2卫",正商河峪洲,孙赞赞,https://zz.esf.fang.com/chushou/3_183872193.htm,7,79万," (订房交钥匙)现房 花园洋房 精装修的!惠济房本,3室2卫"
万科民安江山府 3室2厅 109.5平,万科民安江山府,江桥,https://zz.esf.fang.com/chushou/3_183863945.htm,8,200万, 万科民安江山府 3室2厅 109.5平
开年特惠万科翠湾中城 第四代住宅项目97-6三房 精装修,万科翠湾中城,黄应志,https://zz.esf.fang.com/chushou/3_183817995.htm,9,138.8万, 开年特惠万科翠湾中城 第四代住宅项目97-6三房 精装修
【成交达人】中亨都市花园双层 可以扩建百平米空中花园送俩车位,中亨都市花园,许兵建,https://zz.esf.fang.com/chushou/3_183875909.htm,10,259万, 【成交达人】中亨都市花园双层 可以扩建百平米空中花园送俩车位
"东风渠畔千米视野河景房,中间好楼层,大落地窗,近47中",圣菲城一期,许兵建,https://zz.esf.fang.com/chushou/3_183868627.htm,11,295万," 东风渠畔千米视野河景房,中间好楼层,大落地窗,近47中"
11年300大平层 双露台观景金水河和大玉米 精装修可拎包住,古德佳苑,许兵建,https://zz.esf.fang.com/chushou/3_183876247.htm,12,1050万, 11年300大平层 双露台观景金水河和大玉米 精装修可拎包住
北龙湖西 实际面积约400平 一楼花园 顶楼露台 送下沉,家和万世花园别墅,许兵建,https://zz.esf.fang.com/chushou/10_183868194.htm,13,630万, 北龙湖西 实际面积约400平 一楼花园 顶楼露台 送下沉
清盘特价10600起 滨河国际新城 中海如园外国语旁现房,中海如园|悦熙,黄应志,https://zz.esf.fang.com/chushou/3_183843034.htm,14,152万, 清盘特价10600起 滨河国际新城 中海如园外国语旁现房
天伦锦城 3室2厅 3.16平,天伦锦城,江桥,https://zz.esf.fang.com/chushou/3_183864852.htm,15,180万, 天伦锦城 3室2厅 3.16平
富邦铭邸 3室1厅 98.86平,富邦铭邸,江桥,https://zz.esf.fang.com/chushou/3_183851100.htm,16,78万, 富邦铭邸 3室1厅 98.86平
七.中家属院 两房,七中家属院,江桥,https://zz.esf.fang.com/chushou/3_183850579.htm,17,91万, 七.中家属院 两房
开祥天下城 1室0厅 31.13平,天下城,江桥,https://zz.esf.fang.com/chushou/3_183863522.htm,18,98万, 开祥天下城 1室0厅 31.13平
刘寨 · 情景博士园 · 2室 · 2厅,情景博士园,武守豪,https://zz.esf.fang.com/chushou/3_183867707.htm,19,98万, 刘寨 · 情景博士园 · 2室 · 2厅
东区CBD旁 古德佳苑临河毛坯大四房 急售送一个车位 有钥匙,古德佳苑,高原青,https://zz.esf.fang.com/chushou/3_183875244.htm,20,399万, 东区CBD旁 古德佳苑临河毛坯大四房 急售送一个车位 有钥匙
优胜花园 3室2厅 130.84平,优胜花园,江桥,https://zz.esf.fang.com/chushou/3_183858927.htm,21,252万, 优胜花园 3室2厅 130.84平
"碧桂园天琴湾 精装修 南北通透 采光好 全屋壁布,二次精装!",碧桂园天琴湾,何一波,https://zz.esf.fang.com/chushou/3_183854893.htm,22,300万," 碧桂园天琴湾 精装修 南北通透 采光好 全屋壁布,二次精装!"
北龙湖金融岛旁 珑熙精装顶楼复式带露台 满两年诚心卖随时看房,保利珑熙,高原青,https://zz.esf.fang.com/chushou/3_183837390.htm,23,1180万, 北龙湖金融岛旁 珑熙精装顶楼复式带露台 满两年诚心卖随时看房
中亨都市花园 两个免费车位 多层带电梯 送百平大露台,中亨都市花园,许兵建,https://zz.esf.fang.com/chushou/3_183842913.htm,24,258万, 中亨都市花园 两个免费车位 多层带电梯 送百平大露台
"动动你的手不用满城跑,盛世卧龙城北院有你满意的!",盛世卧龙城,孟曼曼,https://zz.esf.fang.com/chushou/3_183876110.htm,25,135万," 动动你的手不用满城跑,盛世卧龙城北院有你满意的!"
融创金水府 3室2厅2卫 精装 243万元,融创金林金水府,吕龙吉,https://zz.esf.fang.com/chushou/3_183840914.htm,26,243万, 融创金水府 3室2厅2卫 精装 243万元
正商北云鹤 三楼好楼层年 店长房源 装修好 价美,正商北云鹤花园,刘安友,https://zz.esf.fang.com/chushou/3_183852548.htm,27,180万, 正商北云鹤 三楼好楼层年 店长房源 装修好 价美
花园路地铁口2022年现房 孩子不在郑州发展降价急售 农科路,泰山誉景,刘安友,https://zz.esf.fang.com/chushou/3_183824236.htm,28,150万, 花园路地铁口2022年现房 孩子不在郑州发展降价急售 农科路
三环内现房 单价6XXX买地鉄房 房租抵月供 即买即住,东亚 · 京尊,王敬男,https://zz.esf.fang.com/chushou/3_183794805.htm,29,23万, 三环内现房 单价6XXX买地鉄房 房租抵月供 即买即住
出门即地鉄 碧桂园 单价5XXX 送车位 先到先得,新郑碧桂园双湖城,王敬男,https://zz.esf.fang.com/chushou/3_183796680.htm,30,52.9万, 出门即地鉄 碧桂园 单价5XXX 送车位 先到先得
"直观龙子湖岛的4房,全新毛坯,满2有本,交易不限,随时看房",广电天韵,何一波,https://zz.esf.fang.com/chushou/3_183871652.htm,31,385万," 直观龙子湖岛的4房,全新毛坯,满2有本,交易不限,随时看房"
