ISBM,book_id,isset,kaiben,package,paper,subcategory
 9787538756586,25231950, 否, 32开, 平装-胶订, 胶版纸,其他国家
 9787538756388,25229342, 是, 32开, 平装-胶订, 胶版纸,中国当代小说
 ,12100012060, 否, , , ,科幻小说
 9787530770054,28975207, 否, 32开, 平装-胶订, 胶版纸,想像力/创造力
 9787541498558,26439566, 否, 32开, 平装-胶订, 轻型纸,经典必读
 9787530771402,29300393, 否, 32开, 平装-胶订, 胶版纸,文学
 9787557551957,28520781, 否, 32开, 平装-胶订, 胶版纸,经典必读
 9787505738478,29277917, 否, 32开, 平装, 胶版纸,课外阅读
 9787532175512,28542693, 否, 32开, 平装-胶订, 胶版纸,侦探/悬疑/推理小说
 9787530771396,29292273, 否, 32开, 平装-胶订, 胶版纸,文学
 9787511725479,27875560, 否, 32开, 平装-胶订, 胶版纸,欧洲
 ,12100012479, 否, , , ,社会小说
 9787530773185,29364285, 否, 32开, 平装-胶订, 胶版纸,文学
 9787201097206,23858313, 否, 32开, 平装-胶订, 轻型纸,社会小说
 9787559700209,25090609, 否, 32开, 平装-胶订, 轻型纸,文学
 9787530684399,29502846, 否, 16开, 平装-胶订, 轻型纸,中国
 9787538756395,25229343, 是, 32开, 平装-胶订, 胶版纸,中国当代小说
 9787513905640,23684890, 否, 32开, 精装, 胶版纸,文学理论
 9787530771389,29218354, 否, 32开, 平装-胶订, 胶版纸,文学
 9787553669090,29263878, 否, 32开, 平装-胶订, 胶版纸,社会小说
 9772095336241,29681940, 否, 16开, 平装, 轻型纸,青春爱情文学
 9787530763674,29420513, 否, 16开, 平装-胶订, 胶版纸,文学
 9787559438898,28507827, 否, 32开, 平装-胶订, 纯质纸,语文阅读
 9787559726414,29346404, 是, 32开, 平装-胶订, 胶版纸,文学
 7534291067032,27872079, 是, 32开, 平装-胶订, 胶版纸,文学
 9787550249448,23730156, 否, 32开, 平装-胶订, 胶版纸,英文版
 9787559710369,25808759, 是, 32开, 平装-胶订, 胶版纸,经典必读
 9787513926737,28522520, 否, 16开, 精装, 胶版纸,中国当代小说
 9787505741126,27907981, 是, 32开, 平装-胶订, 胶版纸,名家作品
 9787556855001,29254559, 否, 32开, 平装, 轻型纸,文学
 9787530767351,27942495, 否, 32开, 平装-胶订, 胶版纸,经典必读
 9787210099529,25218904, 否, 32开, 平装-胶订, 胶版纸,文学理论
 9787547432358,28491591, 否, 32开, 精装, 轻型纸,社会小说
 9787512715455,25213730, 否, 16开, 平装-胶订, 胶版纸,中国当代小说
 9787541485343,29589197, 否, 32开, 平装-胶订, 胶版纸,文学
 ,12100013171, 否, , , ,综合
 9787534267574,25321554, 否, 32开, 平装-胶订, 胶版纸,经典必读
