author,book_id,inputdate,price,title,upaddress,url
[美]欧·亨利 著 王晋华 译,25231950, /2018-02-23,¥14.30, 欧·亨利短篇小说选（收录“世界三大短篇小说巨匠之一”欧·亨利的38个短篇小说）,时代文艺出版社,https://product.dangdang.com/25231950.html
汪曾祺,25229342, /2018-02-05,¥9.50, 汪曾祺小说集：鸡鸭名家,时代文艺出版社,https://product.dangdang.com/25229342.html
 ,12100012060, ,¥23.00, 科幻小说：环太平洋套装（全三册），《变形金刚》《钢铁侠》作者、《星球大战》《星际穿越》作者强强联手，打造新时代的科幻经典, ,https://product.dangdang.com/12100012060.html
玛格丽特?梅喜,28975207, /2020-06-01,¥14.00, 国际大奖小说——魔法师的接班人,新蕾出版社,https://product.dangdang.com/28975207.html
艾玛·考克斯 禹田文化 出品,26439566, /2019-01-01,¥20.50, 长青藤国际大奖小说书系：一只猫的使命,云南出版集团公司 晨光出版社,https://product.dangdang.com/26439566.html
[英]派崔克·奈斯,29300393, /2021-07-01,¥9.90, 国际大奖小说·成长版——当怪物来敲门,新蕾出版社,https://product.dangdang.com/29300393.html
沈石溪,28520781, /2019-12-01,¥12.50, 动物小说大王·沈石溪系列典藏-警犬拉拉,吉林美术出版社,https://product.dangdang.com/28520781.html
鲁迅，创美工厂 出品,29277917, /2021-08-01,¥15.80, 狂人日记：鲁迅小说全集（1938年复社底本，中国白话小说开山之作。收录鲁迅全部小说，多篇入选语文课本）团购电话：4001,中国友谊出版公司,https://product.dangdang.com/29277917.html
(日)高野和明 著；读客文化 出品,28542693, /2020-04-29,¥21.00, 消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步奖！是否值得为一场痛快的复仇，陪葬掉自己的人生？）,上海文艺出版社,https://product.dangdang.com/28542693.html
[法]索菲?迪奥埃德,29292273, /2021-05-01,¥13.00, 国际大奖小说——宠物猫的反击战,新蕾出版社,https://product.dangdang.com/29292273.html
[法] 莫泊桑 著，柳鸣九 译 万亭文化 出品,27875560, /2019-05-01,¥12.00, 羊脂球（莫泊桑短篇小说选，经典新读，中央编译出版社）,中央编译出版社,https://product.dangdang.com/27875560.html
 ,12100012479, ,¥16.00, 果麦经典小说, ,https://product.dangdang.com/12100012479.html
[法]让-克劳德?穆莱瓦,29364285, /2022-01-01,¥14.00, 国际大奖小说--罗伯特的三次报复行动,新蕾出版社,https://product.dangdang.com/29364285.html
鲁迅，果麦文化 出品,23858313, /2016-01-01,¥17.60, 鲁迅短篇小说集:呐喊(陈丹青推荐本),天津人民出版社,https://product.dangdang.com/23858313.html
沈石溪 著,25090609, /2017-06-01,¥14.00, 动物小说大王沈石溪·品藏书系：母豺火烧云,浙江少年儿童出版社,https://product.dangdang.com/25090609.html
《小说月报》编辑部,29502846, /2023-01-01,¥39.00, 小说月报2022年精品集,百花文艺出版社,https://product.dangdang.com/29502846.html
汪曾祺,25229343, /2018-02-05,¥10.30, 汪曾祺小说集：大淖记事（还收录《受戒》等经典小说）,时代文艺出版社,https://product.dangdang.com/25229343.html
[法] 安娜·戈华达,29218354, /2021-03-01,¥12.50, 国际大奖小说——35公斤的希望,新蕾出版社,https://product.dangdang.com/29218354.html
鲁迅，高高国际 出品,23684890, /2015-05-31,¥12.50, 中国小说史略 鲁迅重要代表作 中国小说史开山之作 文学青年重点装备 民国国学大师胡适盛赞 精装珍藏本,民主与建设出版社,https://product.dangdang.com/23684890.html
"（俄）陀思妥耶夫斯基（著),朱宪生、曾思艺译 万亭文化 出品",23806802, /2015-06-01,¥11.20, 罪与罚 犯罪心理分析小说的大师级经典之作 世界名著典藏,中央编译出版社,https://product.dangdang.com/23806802.html
鲁迅,29263878, /2021-06-21,¥21.00, 狂人日记：鲁迅小说全集无删减版！（了解觉醒年代，就读《狂人日记》）,浙江教育出版社,https://product.dangdang.com/29263878.html
裟椤双树，橘花散里，两色风景，悠世，原晓，闲晴，萧十一狼，李惟七等,29681940, /2024-02-01,¥7.50, 小说绘295（2402）, ,https://product.dangdang.com/29681940.html
[美]约翰·雷诺兹·卡迪纳,29420513, /2022-06-01,¥11.00, 国际大奖小说·注音版--石狐,新蕾出版社,https://product.dangdang.com/29420513.html
[俄]契诃夫 著；读客文化 出品,28507827, /2020-01-01,¥16.40, 变色龙：契诃夫短篇小说精选（提高写作能力，就读契诃夫。一句话就是一个故事。）（读客经典文库）,江苏凤凰文艺出版社,https://product.dangdang.com/28507827.html
"鲁迅 著,酷威文化 出品",28985064, /2020-07-01,¥39.80, 鲁迅小说经典：呐喊·彷徨,万卷出版公司,https://product.dangdang.com/28985064.html
沈石溪、 沈悦、马旻轩、李花三吉,29346404, /2021-12-01,¥78.00, 动物小说大王沈石溪 流浪狗奥利奥（套装共6册）,浙江少年儿童出版社,https://product.dangdang.com/29346404.html
沈石溪,27872079, /2019-04-01,¥27.00, 动物小说大王沈石溪：狼王梦 (注音版 套装共3册）【新】,浙江少年儿童出版社,https://product.dangdang.com/27872079.html
（美）欧.亨利 著,23730156, /2015-06-01,¥12.52, 欧亨利短篇小说精选（英文版原著，“美国现代短篇小说之父”作品精选集）,北京联合出版公司,https://product.dangdang.com/23730156.html
沈石溪,25808759, /2018-11-01,¥464.00, 动物小说大王沈石溪品藏书系 经典礼盒装（升级版 套装共36册）,浙江少年儿童出版社,https://product.dangdang.com/25808759.html
